25/02/2019;7;44;37;48;38;7
23/02/2019;3;45;13;4;44;5
20/02/2019;25;29;8;34;15;1
18/02/2019;18;9;11;33;7;9
16/02/2019;8;7;25;11;46;7
13/02/2019;43;41;29;14;7;3
11/02/2019;43;15;13;48;25;5
09/02/2019;47;40;45;42;3;9
06/02/2019;4;15;21;26;22;10
04/02/2019;40;12;37;24;42;1
02/02/2019;32;27;5;7;35;3
30/01/2019;20;47;15;11;30;9
28/01/2019;37;15;30;6;47;6
26/01/2019;30;14;12;16;42;2
23/01/2019;25;17;41;24;38;10
21/01/2019;17;26;30;47;20;6
19/01/2019;37;10;39;16;34;7
16/01/2019;15;11;10;1;31;3
14/01/2019;35;33;44;1;11;10
12/01/2019;19;24;11;34;25;8
09/01/2019;6;19;46;21;15;10
07/01/2019;1;19;12;31;7;10
05/01/2019;48;18;40;7;6;7
02/01/2019;36;12;29;2;26;7
31/12/2018;43;24;34;27;14;10
29/12/2018;26;30;42;38;12;5
26/12/2018;45;9;5;24;11;10
24/12/2018;10;22;34;43;46;2
22/12/2018;44;46;31;11;22;5
19/12/2018;21;3;25;10;11;3
17/12/2018;2;9;25;35;30;9
15/12/2018;38;1;3;32;30;6
12/12/2018;39;21;45;12;44;5
10/12/2018;8;34;16;13;37;10
08/12/2018;25;38;11;29;14;8
05/12/2018;6;19;41;17;18;9
03/12/2018;1;15;9;19;39;5
01/12/2018;15;6;3;23;39;2
28/11/2018;3;38;30;10;15;6
26/11/2018;36;30;34;14;21;2
24/11/2018;15;11;5;22;10;5
21/11/2018;22;45;20;21;23;10
19/11/2018;33;46;21;20;28;7
17/11/2018;42;20;27;22;12;7
14/11/2018;36;41;15;49;48;5
12/11/2018;13;14;37;21;15;7
10/11/2018;20;43;18;44;30;7
07/11/2018;33;27;3;20;6;8
05/11/2018;9;11;39;29;32;8
03/11/2018;6;29;8;9;39;2
31/10/2018;34;14;2;28;38;4
29/10/2018;9;42;24;43;22;7
27/10/2018;26;21;36;29;35;9
24/10/2018;28;45;34;36;9;6
22/10/2018;10;4;29;19;47;6
20/10/2018;7;17;31;12;48;8
17/10/2018;33;13;7;2;41;1
15/10/2018;8;14;25;19;49;5
13/10/2018;1;36;45;4;22;8
10/10/2018;5;24;38;29;4;3
08/10/2018;46;1;4;23;24;2
06/10/2018;49;39;8;48;1;9
03/10/2018;31;24;11;20;32;8
01/10/2018;6;1;40;7;2;4
29/09/2018;31;7;15;10;17;4
26/09/2018;40;18;15;36;10;3
24/09/2018;12;30;17;8;6;3
22/09/2018;14;37;39;18;38;9
19/09/2018;15;42;4;27;25;5
17/09/2018;43;42;8;15;26;5
15/09/2018;11;26;1;46;13;5
12/09/2018;11;33;24;35;4;9
10/09/2018;27;20;19;46;38;10
08/09/2018;6;19;22;34;20;10
05/09/2018;7;39;34;6;15;1
03/09/2018;18;2;15;1;41;10
01/09/2018;32;35;11;41;42;6
29/08/2018;17;45;19;40;31;1
27/08/2018;40;17;24;18;10;2
25/08/2018;29;6;15;44;16;3
22/08/2018;16;42;12;6;40;3
