26/03/2016;14;3;20;17;1;1
23/03/2016;14;19;17;8;5;9
21/03/2016;3;34;42;37;10;2
19/03/2016;49;13;4;36;18;5
16/03/2016;43;18;11;7;9;10
14/03/2016;19;39;27;14;36;8
12/03/2016;27;17;9;25;46;6
09/03/2016;40;22;20;19;41;2
07/03/2016;11;6;49;41;12;1
05/03/2016;34;5;14;49;23;6
02/03/2016;40;48;44;20;34;2
29/02/2016;13;3;1;24;45;1
27/02/2016;11;47;13;10;28;6
24/02/2016;20;18;44;1;49;7
22/02/2016;23;2;5;48;26;5
20/02/2016;9;33;34;41;20;8
17/02/2016;29;17;40;34;2;10
15/02/2016;37;21;38;4;10;5
13/02/2016;38;30;27;41;10;4
10/02/2016;44;46;1;27;48;10
08/02/2016;30;1;28;39;11;6
06/02/2016;44;25;2;41;28;9
03/02/2016;5;44;24;28;25;3
01/02/2016;18;36;13;40;48;4
30/01/2016;1;3;31;11;49;1
27/01/2016;31;44;48;37;32;9
25/01/2016;12;4;38;10;41;3
23/01/2016;42;3;15;41;33;3
20/01/2016;34;21;9;42;31;8
18/01/2016;2;5;3;10;1;4
16/01/2016;17;45;26;27;13;6
13/01/2016;30;11;35;33;3;2
11/01/2016;41;29;19;43;14;9
09/01/2016;22;39;4;49;45;6
06/01/2016;49;22;14;5;2;4
04/01/2016;34;43;23;15;40;3
02/01/2016;19;44;37;46;10;10
30/12/2015;16;2;34;25;1;5
28/12/2015;10;12;7;20;45;7
26/12/2015;15;21;20;38;43;1
23/12/2015;13;17;28;46;42;2
21/12/2015;11;19;33;41;7;3
19/12/2015;4;25;42;39;38;7
16/12/2015;46;41;24;35;22;10
14/12/2015;31;49;7;20;11;7
12/12/2015;13;40;2;34;15;8
09/12/2015;6;34;12;49;10;7
07/12/2015;22;28;42;37;14;10
05/12/2015;9;26;47;20;27;7
02/12/2015;39;9;3;45;10;7
30/11/2015;27;19;5;35;40;9
28/11/2015;30;19;37;12;46;9
25/11/2015;24;18;22;41;7;3
23/11/2015;47;12;14;37;20;6
21/11/2015;43;24;12;18;16;10
18/11/2015;25;23;5;1;47;1
16/11/2015;28;47;40;12;42;1
14/11/2015;34;29;47;10;37;10
11/11/2015;17;1;6;13;15;2
09/11/2015;25;32;8;37;39;10
07/11/2015;7;32;4;23;28;1
04/11/2015;32;11;8;21;15;6
02/11/2015;21;32;8;48;7;4
31/10/2015;33;36;48;43;34;10
28/10/2015;49;2;17;30;5;2
26/10/2015;17;19;23;4;49;3
24/10/2015;7;12;39;29;11;2
21/10/2015;25;35;22;26;31;6
19/10/2015;36;33;31;48;47;7
17/10/2015;22;33;14;46;9;8
14/10/2015;38;20;33;6;35;2
12/10/2015;1;16;49;3;4;4
10/10/2015;41;23;15;30;45;7
07/10/2015;29;27;2;14;28;9
05/10/2015;27;28;13;31;42;6
03/10/2015;27;18;8;37;20;4
30/09/2015;16;18;15;35;26;7
28/09/2015;23;39;37;36;49;8
26/09/2015;14;13;4;24;21;1
23/09/2015;35;49;18;20;31;3
21/09/2015;42;47;28;27;12;5
19/09/2015;2;25;43;16;33;9
16/09/2015;7;34;42;11;17;6
14/09/2015;3;43;48;37;49;2
12/09/2015;41;1;30;38;31;10
09/09/2015;3;19;10;44;41;7
07/09/2015;5;19;21;32;29;3
05/09/2015;24;45;14;25;42;9
02/09/2015;29;6;9;17;28;2
31/08/2015;12;41;38;1;31;4
29/08/2015;43;40;2;38;23;8
26/08/2015;44;26;41;15;37;8
24/08/2015;6;5;17;42;30;1
22/08/2015;19;4;20;29;49;9
19/08/2015;21;6;45;34;38;4
17/08/2015;29;9;26;36;42;1
15/08/2015;49;13;6;25;47;4
12/08/2015;15;43;1;24;8;2
10/08/2015;37;44;14;12;28;5
08/08/2015;12;8;11;35;33;9
05/08/2015;34;10;22;36;9;4
03/08/2015;48;10;49;1;39;1
01/08/2015;9;31;24;34;23;9
29/07/2015;22;2;3;42;36;9
27/07/2015;14;28;37;41;6;5
25/07/2015;43;7;5;10;13;4
22/07/2015;36;30;33;31;24;1
20/07/2015;31;17;2;24;29;1
18/07/2015;45;41;37;35;18;3
15/07/2015;46;2;30;43;14;8
13/07/2015;22;39;31;37;29;8
11/07/2015;14;26;4;23;36;1
08/07/2015;5;39;32;42;20;7
06/07/2015;17;12;36;35;43;3
04/07/2015;4;49;38;29;40;3
01/07/2015;49;5;19;18;38;10
29/06/2015;14;16;2;12;42;7
27/06/2015;47;14;42;40;29;4
24/06/2015;29;49;38;25;41;2
22/06/2015;35;43;37;24;38;2
20/06/2015;32;8;3;13;37;4
17/06/2015;44;30;26;48;41;1
15/06/2015;35;19;37;22;16;2
13/06/2015;16;11;29;15;46;4
10/06/2015;12;46;40;8;19;8
08/06/2015;41;3;8;9;44;10
06/06/2015;4;24;29;47;30;3
03/06/2015;12;18;30;25;47;2
01/06/2015;3;38;4;49;12;2
30/05/2015;43;6;30;47;45;5
27/05/2015;22;32;42;8;29;3
25/05/2015;44;35;49;15;29;3
23/05/2015;45;41;12;26;19;7
20/05/2015;12;10;22;37;41;10
18/05/2015;38;41;39;2;10;5
16/05/2015;39;8;22;46;23;3
13/05/2015;45;22;37;15;6;5
11/05/2015;49;1;34;28;31;4
09/05/2015;4;46;8;29;40;3
06/05/2015;35;32;29;7;34;10
04/05/2015;14;30;48;8;49;1
02/05/2015;46;33;30;19;3;5
29/04/2015;42;20;2;35;49;3
27/04/2015;15;28;43;41;5;4
25/04/2015;30;20;29;10;27;6
22/04/2015;10;43;21;25;45;5
20/04/2015;10;37;28;15;2;2
18/04/2015;44;1;49;38;20;3
15/04/2015;43;6;10;30;39;5
13/04/2015;41;9;43;48;36;2
11/04/2015;45;41;5;17;33;9
08/04/2015;15;36;38;30;2;2
06/04/2015;31;16;33;17;1;3
04/04/2015;33;15;23;28;39;1
01/04/2015;13;21;25;20;41;4
30/03/2015;4;20;13;10;32;1
28/03/2015;20;19;40;39;27;8
25/03/2015;43;10;20;9;17;7
23/03/2015;48;49;3;1;20;7
21/03/2015;28;47;41;22;21;5
18/03/2015;26;15;10;4;30;5
16/03/2015;35;11;49;7;48;7
14/03/2015;30;39;3;14;8;10
11/03/2015;49;2;35;1;36;4
09/03/2015;35;31;26;34;28;5
07/03/2015;48;9;18;43;3;2
